,source,target
0,France,Russia
1,France,Russia
2,Germany,Russia
3,Germany,Russia
4,France,Russia
5,Germany,Russia
6,Germany,Russia
7,Germany,Russia
8,France,Russia
9,Germany,Russia
10,Germany,Russia
11,Germany,Russia
12,France,Russia
13,Germany,Russia
14,Germany,Russia
15,Germany,Russia
16,France,Russia
17,Germany,Russia
18,Germany,Russia
19,Germany,Russia
20,Germany,Russia
21,Germany,Russia
22,Germany,Italy
23,Germany,Italy
24,Germany,Italy
25,Germany,Italy
26,Germany,Italy
27,Germany,Italy
28,Germany,Italy
29,Austria,Germany
30,Austria,Germany
31,Germany,Italy
32,Germany,Italy
33,Austria,Germany
34,Austria,Germany
35,Germany,Italy
36,Germany,Italy
37,Austria,Germany
38,Austria,Germany
39,Austria,Germany
40,Austria,Germany
41,Germany,Spain
42,Austria,Germany
43,Austria,Germany
44,Germany,Spain
45,Austria,Germany
46,Germany,Spain
47,France,Spain
48,France,Poland
49,France,Poland
50,France,Poland
51,France,Poland
52,France,Germany
53,Germany,Poland
54,France,Poland
55,France,Poland
56,France,Germany
57,Germany,Poland
58,France,Poland
59,France,Poland
60,France,Germany
61,Germany,Poland
62,France,Poland
63,France,Poland
64,France,Germany
65,Germany,Poland
66,France,Poland
67,France,Germany
68,Germany,Poland
69,France,Germany
70,Germany,Poland
71,Germany,Poland
72,Germany,Poland
73,Estonia,Germany
74,Estonia,Latvia
75,Latvia,Lithuania
76,Finland,Lithuania
77,Germany,Poland
78,Estonia,Germany
79,Estonia,Latvia
80,Latvia,Lithuania
81,Finland,Lithuania
82,Finland,Germany
83,Germany,Poland
84,Germany,Poland
85,Estonia,Germany
86,Estonia,Latvia
87,Latvia,Lithuania
88,Finland,Lithuania
89,Finland,Germany
90,Germany,Poland
91,Denmark,Poland
92,Denmark,Norway
93,Germany,Poland
94,Estonia,Germany
95,Estonia,Latvia
96,Latvia,Lithuania
97,Finland,Lithuania
98,Finland,Germany
99,Germany,Poland
100,Denmark,Poland
101,Denmark,Norway
102,Germany,Poland
103,Estonia,Germany
104,Estonia,Latvia
105,Latvia,Lithuania
106,Finland,Lithuania
107,Finland,Germany
108,Germany,Poland
109,Denmark,Poland
110,Denmark,Norway
111,Denmark,Norway
112,Denmark,Sweden
113,Germany,Sweden
114,Estonia,Latvia
115,Latvia,Lithuania
116,Finland,Lithuania
117,Finland,Germany
118,Germany,Poland
119,Denmark,Poland
120,Denmark,Norway
121,Denmark,Norway
122,Denmark,Sweden
123,Germany,Sweden
124,Germany,Netherlands
125,Luxembourg,Netherlands
126,Germany,Poland
127,Denmark,Poland
128,Denmark,Norway
129,Denmark,Norway
130,Denmark,Sweden
131,Germany,Sweden
132,Germany,Netherlands
133,Luxembourg,Netherlands
134,Belgium,Luxembourg
135,Belgium,France
136,Denmark,Norway
137,Denmark,Norway
